Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Acute sinusitis,J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)","Bacterial cellulitis, erysipelas or lymphangitis",J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Chronic obstructive pulmonary disease with acute exacerbation,J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Infectious cystitis,J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Peritoneal abscess (mild-moderate),J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Neutropenia (low-risk),J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Other specified pneumonia (Hospital-acquired pneumonia),J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Bacterial pneumonia (Community-acquired pneumonia - severe),J01CR02,clarithromycin,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Bacterial infection of joint,J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Other specified prophylactic measures,J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Osteomyelitis or osteitis,J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Access group antibiotics,"Parenteral > General injections > IV: 500 mg (as sodium salt) + 100 mg (as potassium salt) powder for injection; 1000 mg (as sodium salt) + 200 mg (as potassium salt) powder for injection
Oral > Liquid: 125 mg (as trihydrate) + 31.25 mg (as potassium salt) / 5 mL powder for oral liquid; 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > dispersible tablet: 200 mg (as trihydrate) + 28.5 mg (as potassium salt); 250 mg (as trihydrate) + 62.5 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt); 875 mg (as trihydrate) + 125 mg (as potassium salt)
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Acute otitis media,J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amoxicillin + clavulanic acid,Antituberculosis medicines,"Oral > Liquid: 250 mg (as trihydrate) + 62.5 mg (as potassium salt) / 5 mL powder for oral liquid
Oral > Solid > tablet: 500 mg (as trihydrate) + 125 mg (as potassium salt)",Multi-drug resistant Mycobacterium tuberculosis,J01CR02,,Added,amoxicillin + clavulanic acid,"['amoxicillin + clavulanic acid', 'amoxicillin', 'clavulanic', '+', 'acid']"
amphotericin B,Antifungal medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),Blastomycosis,J02AA01,,Added,amphotericin b,"['amphotericin b', 'amphotericin', 'b']"
amphotericin B,Antifungal medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),Cryptococcosis,J02AA01,,Added,amphotericin b,"['amphotericin b', 'amphotericin', 'b']"
amphotericin B,Antifungal medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),Candidosis,J02AA01,,Added,amphotericin b,"['amphotericin b', 'amphotericin', 'b']"
amphotericin B,Antifungal medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),Coccidioidomycosis,J02AA01,,Added,amphotericin b,"['amphotericin b', 'amphotericin', 'b']"
amphotericin B,Antifungal medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),Histoplasmosis,J02AA01,,Added,amphotericin b,"['amphotericin b', 'amphotericin', 'b']"
amphotericin B,Antifungal medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),Sporotrichosis,J02AA01,,Added,amphotericin b,"['amphotericin b', 'amphotericin', 'b']"
amphotericin B,Antifungal medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),Aspergillosis,J02AA01,,Added,amphotericin b,"['amphotericin b', 'amphotericin', 'b']"
amphotericin B,Antileishmaniasis medicines,Parenteral > General injections > IV: 50 mg in vial powder for injection (liposomal complex); 50 mg in vial powder for injection (as sodium deoxycholate),Visceral leishmaniasis,J02AA01,,Added,amphotericin b,"['amphotericin b', 'amphotericin', 'b']"
ampicillin,Access group antibiotics,"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)",Bacterial pneumonia (Community-acquired pneumonia - severe) [children],J01CA01,gentamicin,Added,ampicillin,['ampicillin']
ampicillin,Access group antibiotics,"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)","Acute malnutrition in infants, children or adolescents (complicated) [children]",J01CA01,gentamicin,Added,ampicillin,['ampicillin']
ampicillin,Access group antibiotics,"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)",Peritonitis (mild-moderate),J01CA01,gentamicin,Added,ampicillin,['ampicillin']
ampicillin,Access group antibiotics,"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)",Peritonitis (severe),J01CA01,gentamicin,Added,ampicillin,['ampicillin']
ampicillin,Access group antibiotics,"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)",Peritoneal abscess (mild-moderate),J01CA01,gentamicin,Added,ampicillin,['ampicillin']
ampicillin,Access group antibiotics,"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)",Peritoneal abscess (severe),J01CA01,gentamicin,Added,ampicillin,['ampicillin']
ampicillin,Access group antibiotics,"Parenteral > General injections > unspecified: 500 mg in vial (as sodium salt) powder for injection; 1 g in vial (as sodium salt) powder for injection
Oral > Liquid: 125 mg per 5 mL (anhydrous) powder for oral suspension
Oral > Solid: 250 mg (anhydrous); 500 mg (anhydrous)",Sepsis without septic shock,J01CA01,gentamicin,Added,ampicillin,['ampicillin']
